8561,05-43-32-ff-03-d9-89-61 (64b),0x0000011298,2017-09-01 17:16:23.188357,1,1,19
8561,05-43-32-ff-03-d7-99-58 (64b),0x00000112a5,2017-09-01 17:16:23.316275,1,1,22
8561,05-43-32-ff-04-d8-18-85 (64b),0x000001130b,2017-09-01 17:16:25.022344,1,2,14
8561,05-43-32-ff-03-da-a1-50 (64b),0x000001131e,2017-09-01 17:16:25.143335,1,1,20
8561,05-43-32-ff-03-d8-b5-58 (64b),0x00000113cb,2017-09-01 17:16:27.910313,1,1,14
8561,05-43-32-ff-03-d9-94-60 (64b),0x00000113d7,2017-09-01 17:16:28.064253,1,4,11
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000011431,2017-09-01 17:16:29.38026,1,1,18
8561,05-43-32-ff-04-d8-16-85 (64b),0x0000011432,2017-09-01 17:16:29.502069,1,1,26
8561,05-43-32-ff-03-da-a9-51 (64b),0x00000114d4,2017-09-01 17:16:31.619473,1,3,26
8561,05-43-32-ff-03-d7-86-62 (64b),0x00000114fe,2017-09-01 17:16:32.475478,1,1,16
8561,05-43-32-ff-04-da-28-87 (64b),0x0000011564,2017-09-01 17:16:33.976592,1,4,25
8561,05-43-32-ff-04-dd-35-87 (64b),0x00000115ca,2017-09-01 17:16:35.459466,1,2,24
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000115cb,2017-09-01 17:16:35.586305,1,1,14
8561,05-43-32-ff-03-d9-89-61 (64b),0x00000115cc,2017-09-01 17:16:35.723479,1,1,20
a951,05-43-32-ff-03-dd-85-61 (64b),0x00000115e1,2017-09-01 17:16:35.751521,1,1,17
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000011629,2017-09-01 17:16:37.008333,1,2,13
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000011632,2017-09-01 17:16:37.178331,1,1,26
8561,05-43-32-ff-04-d8-18-85 (64b),0x0000011698,2017-09-01 17:16:38.431908,1,1,12
8561,05-43-32-ff-03-da-a1-50 (64b),0x00000116fe,2017-09-01 17:16:40.036363,1,2,16
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000011758,2017-09-01 17:16:41.411467,1,1,12
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000011759,2017-09-01 17:16:41.616253,1,1,13
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000011764,2017-09-01 17:16:41.799471,1,2,25
8561,05-43-32-ff-04-d8-16-85 (64b),0x0000011824,2017-09-01 17:16:44.624282,1,4,25
8561,05-43-32-ff-03-da-a9-51 (64b),0x0000011825,2017-09-01 17:16:44.775478,1,1,22
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000011826,2017-09-01 17:16:44.900267,1,1,19
8561,05-43-32-ff-04-da-28-87 (64b),0x000001188c,2017-09-01 17:16:46.151266,1,1,20
8561,05-43-32-ff-04-dd-35-87 (64b),0x00000118a4,2017-09-01 17:16:46.296265,1,1,26
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000118e8,2017-09-01 17:16:47.488575,1,1,19
8561,05-43-32-ff-03-d7-99-58 (64b),0x000001196e,2017-09-01 17:16:49.447477,1,1,20
8561,05-43-32-ff-03-d9-89-61 (64b),0x00000119be,2017-09-01 17:16:50.538533,0,4,16
8561,05-43-32-ff-04-d8-18-85 (64b),0x00000119c0,2017-09-01 17:16:50.759476,1,1,23
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000011a26,2017-09-01 17:16:52.143475,1,2,19
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000011a80,2017-09-01 17:16:53.734398,1,1,23
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000011a8c,2017-09-01 17:16:53.892257,1,2,20
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000011b4b,2017-09-01 17:16:56.766891,1,3,14
