node_id,destination,asn,time,ack,tx,channel
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000068816,2017-09-03 13:29:57.887473,1,2,19
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000068817,2017-09-03 13:29:58.036269,1,1,11
8561,05-43-32-ff-03-da-a9-60 (64b),0x000006887d,2017-09-03 13:29:59.412495,1,1,21
8561,05-43-32-ff-04-d8-16-85 (64b),0x000006887f,2017-09-03 13:29:59.558798,1,1,17
1885,05-43-32-ff-03-dd-85-61 (64b),0x000006888c,2017-09-03 13:29:59.570051,0,4,24
9563,05-43-32-ff-03-dd-85-61 (64b),0x00000688ae,2017-09-03 13:30:00.074421,1,3,20
8561,05-43-32-ff-03-d8-b5-58 (64b),0x00000688d4,2017-09-03 13:30:00.908633,1,1,25
8561,05-43-32-ff-03-d7-86-62 (64b),0x00000688e3,2017-09-03 13:30:01.072258,1,2,15
8561,05-43-32-ff-03-da-a9-51 (64b),0x00000688e5,2017-09-03 13:30:01.199497,1,1,22
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000068939,2017-09-03 13:30:02.59604,1,1,13
8561,05-43-32-ff-03-d7-b7-59 (64b),0x000006893a,2017-09-03 13:30:02.716245,1,1,24
8561,05-43-32-ff-03-d6-98-61 (64b),0x000006894b,2017-09-03 13:30:02.843463,1,2,14
8561,05-43-32-ff-04-d9-23-86 (64b),0x00000689a1,2017-09-03 13:30:03.84872,1,1,18
9861,05-43-32-ff-03-d8-b5-58 (64b),0x000006899a,2017-09-03 13:30:03.952054,0,4,12
9460,05-43-32-ff-03-dd-85-61 (64b),0x00000689dd,2017-09-03 13:30:04.643469,0,4,14
8561,05-43-32-ff-03-d8-95-63 (64b),0x0000068a07,2017-09-03 13:30:05.479464,1,1,11
8561,05-43-32-ff-04-da-28-87 (64b),0x0000068a08,2017-09-03 13:30:05.634285,1,1,12
8561,05-43-32-ff-04-d8-18-85 (64b),0x0000068a6a,2017-09-03 13:30:07.000346,1,4,24
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000068a6e,2017-09-03 13:30:07.154317,1,1,16
8561,05-43-32-ff-03-d5-a2-62 (64b),0x0000068ad4,2017-09-03 13:30:08.674291,1,2,25
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000068ad6,2017-09-03 13:30:08.794299,1,1,19
8561,05-43-32-ff-03-de-96-64 (64b),0x0000068b3a,2017-09-03 13:30:10.194959,1,2,24
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000068b3c,2017-09-03 13:30:10.368437,1,1,20
8561,05-43-32-ff-03-d9-91-61 (64b),0x0000068b3d,2017-09-03 13:30:10.503462,1,1,21
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000068ba3,2017-09-03 13:30:11.386938,1,1,15
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000068ba4,2017-09-03 13:30:11.578333,1,1,25
9861,05-43-32-ff-03-d8-b5-58 (64b),0x0000068bf8,2017-09-03 13:30:13.048347,0,4,19
8561,05-43-32-ff-03-da-a9-60 (64b),0x0000068c0a,2017-09-03 13:30:13.083465,1,2,24
8561,05-43-32-ff-04-d8-16-85 (64b),0x0000068c0c,2017-09-03 13:30:13.228551,1,1,20
8561,05-43-32-ff-03-da-a9-51 (64b),0x0000068c72,2017-09-03 13:30:14.570714,1,1,26
8561,05-43-32-ff-03-d6-98-61 (64b),0x0000068c73,2017-09-03 13:30:14.696246,1,1,15
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000068ca0,2017-09-03 13:30:15.14448,0,4,16
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000068cc6,2017-09-03 13:30:16.271473,1,1,19
