node_id,sender,asn,time,channel,is_eb
8561,05-43-32-ff-04-dd-35-87 (64b),0x00000112b9,2017-09-01 17:16:23.450339,11,0
8561,05-43-32-ff-03-da-a9-51 (64b),0x00000112fd,2017-09-01 17:16:24.864695,14,0
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000011340,2017-09-01 17:16:25.519468,16,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000113e8,2017-09-01 17:16:28.184282,19,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001142c,2017-09-01 17:16:29.25453,24,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001144d,2017-09-01 17:16:29.631461,14,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001146f,2017-09-01 17:16:30.202539,21,1
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000011539,2017-09-01 17:16:33.186895,11,1
8561,05-43-32-ff-04-dd-35-87 (64b),0x000001157c,2017-09-01 17:16:34.143464,24,0
8561,05-43-32-ff-04-da-28-87 (64b),0x00000115c0,2017-09-01 17:16:35.332331,16,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000011668,2017-09-01 17:16:37.675047,19,0
8561,05-43-32-ff-03-da-a1-50 (64b),0x00000116ab,2017-09-01 17:16:38.683496,13,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000116cd,2017-09-01 17:16:39.311472,14,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000011710,2017-09-01 17:16:40.214351,16,0
8561,05-43-32-ff-03-d7-86-62 (64b),0x00000117fc,2017-09-01 17:16:43.878906,24,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x000001183f,2017-09-01 17:16:45.026304,21,0
8561,05-43-32-ff-03-da-a9-51 (64b),0x0000011861,2017-09-01 17:16:45.220256,17,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000011909,2017-09-01 17:16:47.844736,11,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x00000119d3,2017-09-01 17:16:50.900258,18,0
8561,05-43-32-ff-04-d8-16-85 (64b),0x0000011a38,2017-09-01 17:16:52.358323,19,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000011a5a,2017-09-01 17:16:52.994909,12,1
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000011abf,2017-09-01 17:16:54.391462,21,0
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000011b24,2017-09-01 17:16:56.035473,26,1
8561,05-43-32-ff-04-da-28-87 (64b),0x0000011b89,2017-09-01 17:16:57.374334,11,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000011c10,2017-09-01 17:16:59.707486,16,1
8561,05-43-32-ff-04-d8-16-85 (64b),0x0000011cda,2017-09-01 17:17:02.858921,12,0
8561,05-43-32-ff-03-da-a9-51 (64b),0x0000011da4,2017-09-01 17:17:05.787469,26,0
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000011dc5,2017-09-01 17:17:06.256258,15,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000011e09,2017-09-01 17:17:07.244567,11,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000011e6e,2017-09-01 17:17:08.936571,20,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000011e8f,2017-09-01 17:17:09.330303,21,0
8561,05-43-32-ff-04-d7-20-87 (64b),0x0000011f9d,2017-09-01 17:17:13.318911,14,1
