node_id,sender,asn,time,channel,is_eb
1685,05-43-32-ff-03-da-a9-51 (64b),0x00000687e4,2017-09-03 13:29:56.855475,26,1
8561,05-43-32-ff-03-da-a9-51 (64b),0x00000687e4,2017-09-03 13:29:56.910834,26,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000068849,2017-09-03 13:29:58.424539,11,1
8561,05-43-32-ff-04-d8-20-84 (64b),0x000006888c,2017-09-03 13:29:59.680243,24,0
1685,05-43-32-ff-03-d7-86-62 (64b),0x00000688d0,2017-09-03 13:30:00.909423,16,1
8561,05-43-32-ff-04-d9-23-86 (64b),0x0000068913,2017-09-03 13:30:01.412336,18,0
1685,05-43-32-ff-04-d9-23-86 (64b),0x0000068913,2017-09-03 13:30:01.580059,18,0
a951,05-43-32-ff-04-d9-23-86 (64b),0x0000068913,2017-09-03 13:30:01.608247,18,0
8561,05-43-32-ff-03-d7-b7-59 (64b),0x0000068935,2017-09-03 13:30:02.444568,15,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x00000689dd,2017-09-03 13:30:04.507472,14,1
9861,05-43-32-ff-04-d7-20-87 (64b),0x00000689dd,2017-09-03 13:30:04.611463,14,1
a951,05-43-32-ff-04-d7-20-87 (64b),0x00000689dd,2017-09-03 13:30:04.628814,14,1
1685,05-43-32-ff-04-d7-20-87 (64b),0x00000689dd,2017-09-03 13:30:04.635943,14,1
1685,05-43-32-ff-03-d7-b7-59 (64b),0x0000068a20,2017-09-03 13:30:05.460401,16,0
a951,05-43-32-ff-03-d7-b7-59 (64b),0x0000068a20,2017-09-03 13:30:05.461179,16,0
9861,05-43-32-ff-03-d7-b7-59 (64b),0x0000068a20,2017-09-03 13:30:05.46182,16,0
8561,05-43-32-ff-03-d7-b7-59 (64b),0x0000068a20,2017-09-03 13:30:05.755469,16,0
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000068a42,2017-09-03 13:30:05.968254,23,1
8561,05-43-32-ff-04-da-28-87 (64b),0x0000068aa7,2017-09-03 13:30:07.543478,22,0
a951,05-43-32-ff-04-da-28-87 (64b),0x0000068aa7,2017-09-03 13:30:07.67234,22,0
9861,05-43-32-ff-04-da-28-87 (64b),0x0000068aa7,2017-09-03 13:30:07.675492,22,0
1685,05-43-32-ff-04-da-28-87 (64b),0x0000068aa7,2017-09-03 13:30:07.677353,22,0
1685,05-43-32-ff-04-d9-23-86 (64b),0x0000068ac9,2017-09-03 13:30:08.480327,11,1
9861,05-43-32-ff-04-d9-23-86 (64b),0x0000068ac9,2017-09-03 13:30:08.496255,11,1
a951,05-43-32-ff-04-d9-23-86 (64b),0x0000068ac9,2017-09-03 13:30:08.515462,11,1
8561,05-43-32-ff-04-d9-23-86 (64b),0x0000068ac9,2017-09-03 13:30:08.518257,11,1
a951,05-43-32-ff-04-da-28-87 (64b),0x0000068aea,2017-09-03 13:30:08.655461,12,1
8561,05-43-32-ff-04-da-28-87 (64b),0x0000068aea,2017-09-03 13:30:08.919462,12,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000068b0c,2017-09-03 13:30:09.046313,24,0
1685,05-43-32-ff-03-d9-89-61 (64b),0x0000068b0c,2017-09-03 13:30:09.183514,24,0
9861,05-43-32-ff-03-d9-89-61 (64b),0x0000068b0c,2017-09-03 13:30:09.188375,24,0
8561,05-43-32-ff-03-d6-98-61 (64b),0x0000068b2e,2017-09-03 13:30:10.03631,20,1
8561,05-43-32-ff-03-d9-94-60 (64b),0x0000068b71,2017-09-03 13:30:10.632244,17,0
a951,05-43-32-ff-03-d9-94-60 (64b),0x0000068b71,2017-09-03 13:30:10.711389,17,0
9861,05-43-32-ff-03-d9-94-60 (64b),0x0000068b71,2017-09-03 13:30:10.712661,17,0
1685,05-43-32-ff-03-d9-94-60 (64b),0x0000068b71,2017-09-03 13:30:10.713337,17,0
1685,05-43-32-ff-03-d9-94-60 (64b),0x0000068b93,2017-09-03 13:30:11.488254,18,1
9861,05-43-32-ff-03-d9-94-60 (64b),0x0000068b93,2017-09-03 13:30:11.535502,18,1
a951,05-43-32-ff-03-d9-94-60 (64b),0x0000068b93,2017-09-03 13:30:11.547459,18,1
8561,05-43-32-ff-03-da-a9-51 (64b),0x0000068bd6,2017-09-03 13:30:12.10511,25,0
1685,05-43-32-ff-03-da-a9-51 (64b),0x0000068bd6,2017-09-03 13:30:12.105711,25,0
9861,05-43-32-ff-03-da-a9-51 (64b),0x0000068bd6,2017-09-03 13:30:12.199509,25,0
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000068c5d,2017-09-03 13:30:14.443478,14,0
a951,05-43-32-ff-04-d8-16-85 (64b),0x0000068c5d,2017-09-03 13:30:14.586346,14,0
a951,05-43-32-ff-04-d8-20-84 (64b),0x0000068ca0,2017-09-03 13:30:15.142689,16,1
1685,05-43-32-ff-04-d8-20-84 (64b),0x0000068ca0,2017-09-03 13:30:15.275474,16,1
1685,05-43-32-ff-03-d7-b7-59 (64b),0x0000068cc2,2017-09-03 13:30:16.108768,23,0
a951,05-43-32-ff-03-d7-b7-59 (64b),0x0000068cc2,2017-09-03 13:30:16.115527,23,0
9861,05-43-32-ff-03-d7-b7-59 (64b),0x0000068cc2,2017-09-03 13:30:16.116219,23,0
8561,05-43-32-ff-03-d7-b7-59 (64b),0x0000068cc2,2017-09-03 13:30:16.121752,23,0
9861,05-43-32-ff-03-d8-95-63 (64b),0x0000068d27,2017-09-03 13:30:17.600254,22,1
1685,05-43-32-ff-03-d8-95-63 (64b),0x0000068d27,2017-09-03 13:30:17.626308,22,1
a951,05-43-32-ff-03-d8-95-63 (64b),0x0000068d27,2017-09-03 13:30:17.633422,22,1
a951,05-43-32-ff-03-d9-89-61 (64b),0x0000068d8c,2017-09-03 13:30:18.96583,24,1
9861,05-43-32-ff-03-d9-89-61 (64b),0x0000068d8c,2017-09-03 13:30:18.966566,24,1
1685,05-43-32-ff-03-d9-89-61 (64b),0x0000068d8c,2017-09-03 13:30:19.143466,24,1
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000068d8c,2017-09-03 13:30:19.160131,24,1
