node_id,sender,asn,time,channel,is_eb
8561,05-43-32-ff-03-de-96-64 (64b),0x00000101a1,2017-09-03 19:18:44.722835,17,0
8561,05-43-32-ff-03-da-a9-51 (64b),0x00000101c2,2017-09-03 19:18:45.168258,23,1
8561,05-43-32-ff-04-d8-18-85 (64b),0x0000010206,2017-09-03 19:18:46.248305,25,1
8561,05-43-32-ff-04-d7-20-87 (64b),0x000001026b,2017-09-03 19:18:47.751469,13,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x000001028c,2017-09-03 19:18:47.980248,24,1
3587,05-43-32-ff-03-da-a9-60 (64b),0x0000010378,2017-09-03 19:18:51.414402,19,1
a262,05-43-32-ff-03-da-a9-60 (64b),0x0000010378,2017-09-03 19:18:51.464246,19,1
a262,05-43-32-ff-04-d8-16-85 (64b),0x00000103dd,2017-09-03 19:18:53.060556,14,1
a262,05-43-32-ff-03-da-a9-51 (64b),0x0000010420,2017-09-03 19:18:53.882121,16,1
3587,05-43-32-ff-03-da-a9-51 (64b),0x0000010420,2017-09-03 19:18:54.103466,16,1
3587,05-43-32-ff-04-d8-18-85 (64b),0x0000010485,2017-09-03 19:18:55.57947,15,1
a262,05-43-32-ff-03-d9-94-60 (64b),0x000001054f,2017-09-03 19:18:58.625878,21,1
3587,05-43-32-ff-03-d9-94-60 (64b),0x000001054f,2017-09-03 19:18:58.63146,21,1
8561,05-43-32-ff-03-d9-94-60 (64b),0x000001054f,2017-09-03 19:18:58.760267,21,1
8561,05-43-32-ff-04-da-28-87 (64b),0x00000105f8,2017-09-03 19:19:01.346862,19,1
8561,05-43-32-ff-03-d8-b5-58 (64b),0x000001067e,2017-09-03 19:19:03.143463,20,0
3587,05-43-32-ff-03-d8-b5-58 (64b),0x000001067e,2017-09-03 19:19:03.264924,20,0
a262,05-43-32-ff-03-d8-b5-58 (64b),0x000001067e,2017-09-03 19:19:03.265629,20,0
3587,05-43-32-ff-04-da-28-87 (64b),0x00000106a0,2017-09-03 19:19:03.50928,16,0
a262,05-43-32-ff-04-da-28-87 (64b),0x00000106a0,2017-09-03 19:19:03.509864,16,0
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000106a0,2017-09-03 19:19:03.566328,16,0
a262,05-43-32-ff-03-de-96-64 (64b),0x00000106e3,2017-09-03 19:19:04.692268,18,0
a262,05-43-32-ff-04-d8-18-85 (64b),0x0000010705,2017-09-03 19:19:05.030937,15,0
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000010705,2017-09-03 19:19:05.086331,15,0
3587,05-43-32-ff-04-d8-18-85 (64b),0x0000010705,2017-09-03 19:19:05.092161,15,0
a262,05-43-32-ff-04-d8-18-85 (64b),0x0000010748,2017-09-03 19:19:06.211464,19,1
a262,05-43-32-ff-03-da-a9-60 (64b),0x000001076a,2017-09-03 19:19:06.548307,12,0
3587,05-43-32-ff-03-da-a9-60 (64b),0x00000107cf,2017-09-03 19:19:08.071474,21,0
a262,05-43-32-ff-03-da-a9-60 (64b),0x00000107cf,2017-09-03 19:19:08.126314,21,0
8561,05-43-32-ff-03-da-a9-60 (64b),0x00000107cf,2017-09-03 19:19:08.238304,21,0
a262,05-43-32-ff-04-d8-16-85 (64b),0x0000010812,2017-09-03 19:19:09.252056,23,0
3587,05-43-32-ff-04-d8-16-85 (64b),0x0000010812,2017-09-03 19:19:09.253626,23,0
8561,05-43-32-ff-03-da-a9-51 (64b),0x0000010834,2017-09-03 19:19:09.640077,26,0
a951,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.171403,11,1
2887,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.172829,11,1
2087,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.173631,11,1
a960,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.256271,11,1
1885,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.313681,11,1
a262,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.313758,11,1
9664,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.31637,11,1
3587,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.316432,11,1
1685,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.320484,11,1
8662,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.328068,11,1
2084,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.328137,11,1
9460,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.329223,11,1
8961,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.372494,11,1
b259,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.373097,11,1
9958,05-43-32-ff-03-dd-85-61 (64b),0x0000010899,2017-09-03 19:19:11.376005,11,1
3587,05-43-32-ff-03-da-b2-59 (64b),0x00000108bb,2017-09-03 19:19:12.054304,13,0
a262,05-43-32-ff-03-da-b2-59 (64b),0x00000108bb,2017-09-03 19:19:12.082319,13,0
a262,05-43-32-ff-03-da-b2-59 (64b),0x00000108dc,2017-09-03 19:19:12.233323,24,1
3587,05-43-32-ff-03-da-b2-59 (64b),0x00000108dc,2017-09-03 19:19:12.23398,24,1
3587,05-43-32-ff-03-da-a9-51 (64b),0x00000108fe,2017-09-03 19:19:12.676327,20,1
8561,05-43-32-ff-03-da-a9-51 (64b),0x00000108fe,2017-09-03 19:19:12.788591,20,1
3587,05-43-32-ff-03-da-a9-60 (64b),0x0000010920,2017-09-03 19:19:13.598308,16,1
a262,05-43-32-ff-03-da-a9-60 (64b),0x0000010920,2017-09-03 19:19:13.60546,16,1
