node_id,destination,asn,time,ack,tx,channel
8561,05-43-32-ff-03-d7-86-62 (64b),0x000000251c,2017-09-02 11:05:41.638354,1,2,20
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000002559,2017-09-02 11:05:42.380332,1,1,11
8561,05-43-32-ff-04-da-28-87 (64b),0x0000002583,2017-09-02 11:05:43.111467,1,1,15
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000025e0,2017-09-02 11:05:44.683472,1,1,16
8561,05-43-32-ff-03-da-a1-50 (64b),0x000000264f,2017-09-02 11:05:46.375468,1,2,17
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000002650,2017-09-02 11:05:46.514304,1,1,23
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002730,2017-09-02 11:05:49.539468,1,1,16
8561,05-43-32-ff-03-d7-99-58 (64b),0x00000027de,2017-09-02 11:05:52.123489,1,3,16
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000002844,2017-09-02 11:05:53.899459,1,2,25
8561,05-43-32-ff-04-da-28-87 (64b),0x0000002846,2017-09-02 11:05:54.02231,1,1,19
8561,05-43-32-ff-04-dd-35-87 (64b),0x00000028aa,2017-09-02 11:05:55.159474,1,4,24
8561,05-43-32-ff-04-d8-20-84 (64b),0x00000028ac,2017-09-02 11:05:55.292245,1,1,20
8561,05-43-32-ff-03-da-a1-50 (64b),0x0000002912,2017-09-02 11:05:56.854871,1,2,26
8561,05-43-32-ff-03-d9-89-61 (64b),0x0000002913,2017-09-02 11:05:57.03546,1,1,15
8561,05-43-32-ff-03-d8-b5-58 (64b),0x00000029d2,2017-09-02 11:05:59.851474,1,1,23
8561,05-43-32-ff-03-d7-99-58 (64b),0x0000002a3c,2017-09-02 11:06:01.295463,1,3,20
3587,05-43-32-ff-03-dd-85-61 (64b),0x0000002a58,2017-09-02 11:06:01.679463,1,1,19
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002aa0,2017-09-02 11:06:02.859461,1,1,23
8561,05-43-32-ff-03-d7-86-62 (64b),0x0000002aa2,2017-09-02 11:06:02.988245,1,1,26
8561,05-43-32-ff-04-dd-35-87 (64b),0x0000002aa3,2017-09-02 11:06:03.118324,1,1,15
8561,05-43-32-ff-03-d8-b5-58 (64b),0x0000002b05,2017-09-02 11:06:04.279653,1,1,22
8561,05-43-32-ff-04-da-28-87 (64b),0x0000002b09,2017-09-02 11:06:04.468173,1,2,13
8961,05-43-32-ff-03-dd-85-61 (64b),0x0000002b01,2017-09-02 11:06:04.471411,1,3,17
8561,05-43-32-ff-04-d8-20-84 (64b),0x0000002b44,2017-09-02 11:06:05.172544,1,1,26
